año;Caida Motocicleta;Caida Ciclomotor;Caida Bicicleta;Caida Viajero
2009;768;229;76;93
2010;691;188;81;105
2011;803;185;114;75
2012;774;187;126;69
2013;927;137;140;76
2014;987;150;232;89
2015;983;166;239;85
2016;1089;212;273;93
