anno;Caida Motocicleta;Caida Ciclomotor;Caida Bicicleta;Caida Viajero;Caidas Totales
2009;768;229;76;93;1166
2010;691;188;81;105;1065
2011;803;185;114;75;1177
2012;774;187;126;69;1156
2013;927;137;140;76;1280
2014;987;150;232;89;1458
2015;983;166;239;85;1473
2016;1089;212;273;93;1667
